Name,Location,Province,Reviews,Rating(out of 5),URL
Agasaro Home To Stay,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d17532985-Reviews-Agasaro_Home_To_Stay-Kigali_Kigali_Province.html
The Sunshine Villa,Kigali,Kigali Province,0,,https://www.tripadvisor.com/Hotel_Review-g293829-d19942532-Reviews-The_Sunshine_Villa-Kigali_Kigali_Province.html
Great View Apartments,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d16731691-Reviews-Great_View_Apartments-Kigali_Kigali_Province.html
Transit House Airport,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d21286715-Reviews-Transit_House_Airport-Kigali_Kigali_Province.html
Kacyiru Executive Apartments,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23478823-Reviews-Kacyiru_Executive_Apartments-Kigali_Kigali_Province.html
Touristic Lodge,Kinigi,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g12120944-d13212025-Reviews-Touristic_Lodge-Kinigi_Musanze_District_Northern_Province.html
Gishushu,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d23372878-Reviews-Gishushu-Kigali_Kigali_Province.html
Tamara Lake View Resort & Bontaz Grill,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d23214903-Reviews-Tamara_Lake_View_Resort_Bontaz_Grill-Gisenyi_Western_Province.html
Le Mecure Guest House,Gisenyi,Western Province,,,https://www.tripadvisor.com/Hotel_Review-g317074-d13226689-Reviews-Le_Mecure_Guest_House-Gisenyi_Western_Province.html
Rufradu Hotel 1,Gitarama,Southern Province,,,https://www.tripadvisor.com/Hotel_Review-g8397221-d8387555-Reviews-Rufradu_Hotel_1-Gitarama_Southern_Province.html
Labana Star Hotel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d7236701-Reviews-Labana_Star_Hotel-Kigali_Kigali_Province.html
Urugaga Apartments,Musanze,Northern Province,,,https://www.tripadvisor.com/Hotel_Review-g12120942-d15828291-Reviews-Urugaga_Apartments-Musanze_District_Northern_Province.html
Elite Motel,Kigali,Kigali Province,,,https://www.tripadvisor.com/Hotel_Review-g293829-d12921787-Reviews-Elite_Motel-Kigali_Kigali_Province.html
